counter_name,code_item,magazijn,winkel,total,current_inventory,difference,count_date,location,deposit_id,rack_id,boxqty,boxunitqty,boxunittotal,remarks
VICTORIA,4025,0,0,120,0,0,23-01-2026,,1,20,6,20,120,VICTORIA D1
VICTORIA,4015,0,0,100,0,0,23-01-2026,,1,20,10,10,100,VICTORIA D1
VICTORIA,4027,0,0,80,0,0,23-01-2026,,1,20,4,20,80,VICTORIA D1
VICTORIA,4026,0,0,325,0,0,23-01-2026,,1,20,65,5,325,VICTORIA D1
VICTORIA,4031,0,0,200,0,0,23-01-2026,,1,20,2,100,200,VICTORIA D1
VICTORIA,4032,0,0,130,0,0,23-01-2026,,1,20,13,10,130,VICTORIA D1
VICTORIA,4033,0,0,360,0,0,23-01-2026,,1,20,36,10,360,VICTORIA D1
VICTORIA,4034,0,0,158,0,0,23-01-2026,,1,20,79,2,158,VICTORIA D1
VICTORIA,4011,0,0,200,0,0,23-01-2026,,1,20,2,100,200,VICTORIA D1
VICTORIA,4007,0,0,4,0,0,23-01-2026,,1,20,4,1,4,VICTORIA D1 ***
VICTORIA,4007,0,0,13,0,0,23-01-2026,,1,20,13,1,13,VICTORIA D1 ***
VICTORIA,1611,22,0,22,0,0,27-01-26,,2,1,0,1,0,VICTORIA D2
VICTORIA,1612,2,0,2,0,0,27-01-26,,2,1,0,1,0,VICTORIA D2
VICTORIA,1506,1,0,1,0,0,27-01-26,,2,1,0,1,0,VICTORIA D2
VICTORIA,1511,8,0,8,0,0,27-01-26,,2,1,0,1,0,VICTORIA D2
VICTORIA,7196,4,0,4,0,0,27-01-26,,2,1,0,1,0,VICTORIA D2
VICTORIA,7195,7,0,7,0,0,27-01-26,,2,1,0,1,0,VICTORIA D2
VICTORIA,7193,8,0,8,0,0,27-01-26,,2,1,0,1,0,VICTORIA D2
VICTORIA,7144,8,0,8,0,0,27-01-26,,2,2,0,1,0,VICTORIA D2
VICTORIA,7148,6,0,6,0,0,27-01-26,,2,2,0,1,0,VICTORIA D2
VICTORIA,7168,2,0,2,0,0,27-01-26,,2,2,0,1,0,VICTORIA D2
VICTORIA,7194,12,0,12,0,0,27-01-26,,2,2,0,1,0,VICTORIA D2
VICTORIA,1507,2,0,2,0,0,27-01-26,,2,3,0,1,0,VICTORIA D2
VICTORIA,1665,2,0,2,0,0,27-01-26,,2,3,0,1,0,VICTORIA D2
VICTORIA,7151,31,0,31,0,0,27-01-26,,2,3,0,1,0,VICTORIA D2
VICTORIA,1657,1,0,1,0,0,27-01-26,,2,3,0,1,0,VICTORIA D2
VICTORIA,1664,7,0,7,0,0,27-01-26,,2,4,0,1,0,VICTORIA D2
VICTORIA,7147,6,0,6,0,0,27-01-26,,2,4,0,1,0,VICTORIA D2
VICTORIA,7184,2,0,2,0,0,27-01-26,,2,4,0,1,0,VICTORIA D2
VICTORIA,7193,22,0,22,0,0,27-01-26,,2,4,0,1,0,VICTORIA D2
VICTORIA,1985,36,0,36,0,0,27-01-26,,2,5,0,1,0,VICTORIA D2
VICTORIA,1988,22,0,22,0,0,27-01-26,,2,5,0,1,0,VICTORIA D2
VICTORIA,1987,1,0,1,0,0,27-01-26,,2,5,0,1,0,VICTORIA D2
VICTORIA,1659,7,0,7,0,0,27-01-26,,2,5,0,1,0,VICTORIA D2
VICTORIA,7191,53,0,53,0,0,27-01-26,,2,6,0,1,0,VICTORIA D2
VICTORIA,1658,3,0,3,0,0,27-01-26,,2,6,0,1,0,VICTORIA D2
VICTORIA,1666,5,0,5,0,0,27-01-26,,2,6,0,1,0,VICTORIA D2
VICTORIA,7186,,0,0,0,0,27-01-26,,2,6,0,1,0,VICTORIA D2 ***
VICTORIA,7195,11,0,11,0,0,27-01-26,,2,6,0,1,0,VICTORIA D2
VICTORIA,1657,1,0,1,0,0,27-01-26,,2,6,0,1,0,VICTORIA D2
VICTORIA,7167,44,0,44,0,0,27-01-26,,2,37,0,1,0,VICTORIA D2
VICTORIA,7153,13,0,13,0,0,27-01-26,,2,37,0,1,0,VICTORIA D2
VICTORIA,7169,1,0,1,0,0,27-01-26,,2,37,0,1,0,VICTORIA D2
VICTORIA,1664,2,0,2,0,0,27-01-26,,2,38,0,1,0,VICTORIA D2
VICTORIA,7146,10,0,10,0,0,27-01-26,,2,38,0,1,0,VICTORIA D2
VICTORIA,7152,15,0,15,0,0,27-01-26,,2,38,0,1,0,VICTORIA D2
VICTORIA,1661,2,0,2,0,0,27-01-26,,2,39,0,1,0,VICTORIA D2
VICTORIA,1657,1,0,1,0,0,27-01-26,,2,39,0,1,0,VICTORIA D2
VICTORIA,7145,9,0,9,0,0,27-01-26,,2,39,0,1,0,VICTORIA D2
VICTORIA,7141,6,0,6,0,0,27-01-26,,2,39,0,1,0,VICTORIA D2
VICTORIA,7150,45,0,45,0,0,27-01-26,,2,40,0,1,0,VICTORIA D2
VICTORIA,7149,17,0,17,0,0,27-01-26,,2,40,0,1,0,VICTORIA D2
VICTORIA,1656,8,0,8,0,0,27-01-26,,2,40,0,1,0,VICTORIA D2
VICTORIA,3314,3,0,3,0,0,27-01-26,,2,41,0,1,0,VICTORIA D2
VICTORIA,1993,6,0,6,0,0,27-01-26,,2,41,0,1,0,VICTORIA D2
VICTORIA,1992,5,0,5,0,0,27-01-26,,2,41,0,1,0,VICTORIA D2
VICTORIA,7157,12,0,12,0,0,27-01-26,,2,42,0,1,0,VICTORIA D2
VICTORIA,1991,4,0,4,0,0,27-01-26,,2,42,0,1,0,VICTORIA D2
VICTORIA,3494,32,0,32,0,0,28-01-26,,2,42,0,1,0,VICTORIA D2
VICTORIA,3492,0,0,400,0,0,28-01-26,,2,42,8,50,400,VICTORIA D2
VICTORIA,3500,0,0,0,0,0,28-01-26,,2,42,0,1,0,VICTORIA D2 ***
VICTORIA,3498,80,0,180,0,0,28-01-26,,2,42,1,100,100,VICTORIA D2
VICTORIA,3504,7,0,67,0,0,28-01-26,,2,42,60,1,60,VICTORIA D2 ***
VICTORIA,3487,47,0,147,0,0,28-01-26,,2,42,2,50,100,VICTORIA D2
