counter_name,deposit_id,rack_id,count_date,codeitem,Referencia,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,remarks
MALINA,2,13,27-01-26,1769,,28,1,28,0,0,28,MALINA D2 ***
MALINA,2,13,27-01-26,1742,,1,9,9,0,0,9,MALINA D2 ***
MALINA,2,13,27-01-26,1715,,4,1,4,0,0,4,MALINA D2 ***
MALINA,2,13,27-01-26,1713,,10,1,10,0,0,10,MALINA D2 ***
MALINA,2,13,27-01-26,1712,,10,1,10,10,0,20,MALINA D2 ***
MALINA,2,13,27-01-26,1711,,0,1,0,0,0,0,MALINA D2 ***
MALINA,2,13,27-01-26,1737,,2,1,2,0,0,2,MALINA D2 ***
MALINA,2,13,27-01-26,1709,,1,1,1,5,0,6,MALINA D2 ***
MALINA,2,13,27-01-26,8031,,19,1,19,0,0,19,MALINA D2 ***
MALINA,2,13,27-01-26,1711,,22,1,22,0,0,22,MALINA D2 ***
MALINA,2,13,27-01-26,1710,,44,1,44,6,0,50,MALINA D2 ***
MALINA,2,13,28-01-26,1972,,1,1,1,0,0,1,MALINA D2
MALINA,2,13,28-01-27,1995,,5,1,5,0,0,5,MALINA D2
MALINA,2,13,28-01-28,1954,,13,1,13,0,0,13,MALINA D2
MALINA,2,13,28-01-29,1958,,7,1,7,0,0,7,MALINA D2
MALINA,2,13,28-01-30,1937,,7,1,7,0,0,7,MALINA D2
MALINA,2,14,27-01-26,7038,,15,1,15,0,0,15,MALINA D2 ***
MALINA,2,14,27-01-26,7037,,11,1,11,0,0,11,MALINA D2 ***
MALINA,2,14,27-01-26,1738,,1,1,1,2,0,3,MALINA D2 ***
MALINA,2,14,27-01-26,1728,,29,6,174,2,0,176,MALINA D2
MALINA,2,14,27-01-26,1740,,6,6,36,5,0,41,MALINA D2
MALINA,2,14,27-01-26,1739,,7,6,42,1,0,43,MALINA D2
MALINA,2,14,27-01-26,1719,,10,6,60,0,0,60,MALINA D2
MALINA,2,14,27-01-26,1718,,3,6,18,5,0,23,MALINA D2
