counter_name,deposit_id,rack_id,count_date,codeitem,Referencia,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,remarks
MALINA,1,1,26-01-26,3229,,81,1,81,0,0,81,MALINA D1
MALINA,1,2,26-01-26,0103,,489,1,489,0,0,489,MALINA D1
MALINA,1,3,26-01-26,0101,,291,1,291,0,0,291,MALINA D1
MALINA,1,3,26-01-26,3230,,0,1,0,21,0,21,MALINA D1
MALINA,1,4,26-01-26,3231,,59,1,59,0,0,59,MALINA D1
MALINA,1,5,26-01-26,3258,,6,1,6,11,0,17,MALINA D1 ***
MALINA,1,5,26-01-26,3225,,0,1,0,2,0,2,MALINA D1 ***
MALINA,1,5,26-01-26,3275,,0,1,0,2,0,2,MALINA D1 ***
MALINA,1,5,26-01-26,3256,,0,1,0,1,0,1,MALINA D1 ***
MALINA,1,5,26-01-26,3231,,0,1,0,43,0,43,MALINA D1 ***
MALINA,1,5,26-01-26,3350,,0,1,0,15,0,15,MALINA D1 ***
MALINA,1,6,26-01-26,01??,,0,1,0,280,0,280,MALINA D1 ***
MALINA,1,14,23-01-26,3210,,10,6,60,3,0,63,MALINA D1
MALINA,1,14,23-01-26,3230,,0,1,0,90,0,90,MALINA D1
MALINA,1,14,23-01-26,3224,,11,1,11,4,0,15,MALINA D1 ***
MALINA,1,15,23-01-26,0102,,0,1,0,426,0,426,MALINA D1
MALINA,1,15,23-01-26,3212,,7,9,63,8,0,71,MALINA D1
MALINA,1,15,23-01-26,4142,,19,2,38,0,0,38,MALINA D1 Dup ***
MALINA,1,15,23-01-26,4144,,17,2,34,0,0,34,MALINA D1 Dup ***
MALINA,1,15,23-01-26,4154,,43,2,86,0,0,86,MALINA D1 Dup ***
MALINA,1,15,23-01-26,4151,,1,2,2,0,0,2,MALINA D1 Dup ***
MALINA,1,15,23-01-26,4141,,9,5,45,0,0,45,MALINA D1 Dup ***
MALINA,1,15,23-01-26,4140,,26,5,130,1,0,131,MALINA D1 Dup ***
MALINA,1,15,23-01-26,4143,,45,1,45,0,0,45,MALINA D1 Dup X? ***
MALINA,1,15,23-01-26,1920,,29,1,29,0,0,29,MALINA D1***
MALINA,1,15,23-01-26,19201,,0,1,0,0,0,0,MALINA D1***
MALINA,1,15,26-01-26,4117,,0,1,0,0,0,0,MALINA D1
MALINA,1,15,26-01-26,4155,,18,2,36,0,0,36,MALINA D1
MALINA,1,15,26-01-26,4106,,,1,0,0,0,0,MALINA D1***
MALINA,1,15,26-01-26,4145,,25,1,25,0,0,25,MALINA D1***
MALINA,1,15,26-01-26,4150,,12,5,60,4,0,64,MALINA D1
MALINA,1,15,26-01-26,4156,,25,1,25,0,0,25,MALINA D1
MALINA,1,13,26-01-26,3229,,20,1,20,0,0,20,MALINA D1
MALINA,1,13,26-01-26,3210,,6,1,6,0,0,6,MALINA D1
MALINA,1,13,26-01-26,3223,,8,1,8,4,0,12,MALINA D1
MALINA,1,13,26-01-26,3253,,11,1,11,0,0,11,MALINA D1
MALINA,1,18,23-01-26,4146,,144,1,144,0,0,144,MALINA D1
MALINA,1,18,23-01-26,4247,,6,4,24,3,0,27,MALINA D1
MALINA,1,18,23-01-26,4285,,6,4,24,0,0,24,MALINA D1
MALINA,1,18,23-01-26,4224,,6,4,24,1,0,25,MALINA D1
MALINA,1,18,23-01-26,4280,,2,1,2,0,0,2,MALINA D1
MALINA,1,18,23-01-26,4225,,0,1,0,2,0,2,MALINA D1
MALINA,1,18,23-01-26,4231,,2,10,20,7,0,27,MALINA D1
