Ubicacion,Codigo,Descripcion,total
Almacen - O,0416,PERSKABELSCHOEN 50  mm  M10,142
Almacen - O,0418,PERSKABELSCHOEN 95  mm  M12,47
Almacen - O,0419,PERSKABELSCHOEN 120 mm  M12,11
Almacen - O,0421,PERSKABELSCHOEN  240 mm M12,6
Almacen - O,0424,VERBINDINGSBUS  2.5 mm,43
Almacen - O,0425,VERBINDINGSBUS  4 mm,4
Almacen - O,0426,VERBINDINGSBUS  6 mm,76
Almacen - O,0427,VERBINDINGSBUS 10 mm,537
Almacen - O,0428,VERBINDINGSBUS 16 mm,49
Almacen - O,0429,VERBINDINGSBUS 25 mm,70
Almacen - O,0430,VERBINDINGSBUS 35 mm,49
Almacen - O,0431,VERBINDINGSBUS 50 mm,20
Almacen - O,0431,VERBINDINGSBUS 50 mm,20
Almacen - O,0432,VERBINDINGSBUS 70 mm,17
Almacen - O,0432,VERBINDINGSBUS 70 mm,28
Almacen - O,0433,VERBINDINGSBUS 95 mm,17
Almacen - O,04331,VERBINDINGSBUS 120 mm,49
Almacen - O,04332,VERBINDINGSBUS 240 mm,6
Almacen - O,0435,PERSKABELSCHOEN  10  mm  M8,207
Almacen - O,0436,PERSKABELSCHOEN  10  mm  M10,341
Almacen - O,0437,PERSKABELSCHOEN  16  mm  M6,257
Almacen - O,0438,PERSKABELSCHOEN  16  mm  M10,51
Almacen - O,0439,PERSKABELSCHOEN  25  mm  M6,198
Almacen - O,0441,PERSKABELSCHOEN  25  mm  M12,18
Almacen - O,0443,PERSKABELSCHOEN  35  mm  M12,92
Almacen - O,0444,PERSKABELSCHOEN  50  mm  M12,4
Almacen - O,0445,PERSKABELSCHOEN  70  mm  M12,31
Almacen - O,0445,PERSKABELSCHOEN  70  mm  M12,465
Almacen - O,0446,PERSKABELSCHOEN  95  mm  M10,72
Almacen - O,0447,PERSKABELSCHOEN  120  mm  M10,9
Almacen - O,0451,PERSKABELSCHOEN  50  mm  M8,80
Almacen - O,0452,PERSKABELSCHOEN  95  mm  M8,75
Almacen - O,0468,CP-10 PIN PERSKABELSCHOEN 10MM,158
Almacen - O,0469,CP-16 PIN PERSKABELSCHOEN 16MM,37
Almacen - O,0470,CP-25 PIN PERSKABELSCHOEN 25MM,130
Almacen - O,0471,CP-35 PIN PERSKABELSCHOEN 35MM,22
Almacen - O,0472,CP-50 PIN PERSKABELSCHOEN 50MM,28
Almacen - O,0473,PERSKABELSCHOEN SMALL 70-10MM,12
Almacen - O,0474,PERSKABELSCHOEN SMALL 95-10MM,1
Almacen - O,0476,PERSKABELSCHOEN SMALL 240-10MM,3
Almacen - O,0477,PERSKABELSCHOEN SMALL 240-12MM,3
Almacen - O,1245,******CEE-FORM STEKK 63A -3P+A,70
Almacen - O,1252,*****CEE-FORM STEKK 63A-3P+N+A,11
Almacen - O,1265,******CEE-FORM CONN 32A -3P +A,19
Almacen - O,1327,MOERKLEM APC 10/6,15
Almacen - O,1328,MOERKLEM APC 16/16,4
Almacen - O,1329,MOERKLEM APC 25/25,1
Almacen - O,1330,MOERKLEM APC 35/35,1
Almacen - O,1331,MOERKLEM APC 50/50,3
Almacen - O,1351,HOUTSCHR IJZ 3.5x25 (1x6),102
Almacen - O,1353,HOUTSCHR IJZ 4.0x25 (1x8),41
Almacen - O,1354,HOUTSCHR IJZ 4.0x40 (1 1/2x8),5000
Almacen - O,1362,SPAANPLAAT SCHR.3.9x25 (1x8),8000
Almacen - O,1496,OPBOUW KAST 2 MOD 610090,1
Almacen - O,1497,OPBOUW KAST 4 MOD 610091,1
Almacen - O,1519,OPB.KAST 3-RIJ WD 36MOD 610318,5
Almacen - O,1922,HH1021006 INV TULE PG21 E 62B,5
Almacen - O,1923,HH1021007 INV TULE PG29 E62C,5
Almacen - O,3105,FOCO LED A60 9W 800LM 6500K,1
Almacen - O,3264,PICKENS 6W LED BULB 4000K SEMI,2
Almacen - O,3265,PICKENS 7W LED BULB,2
Almacen - O,3268,PICKENS 5W LED BULB 6500K,1
Almacen - P,0311,"MOFFEN   5/8""",495
Almacen - P,0312,"MOFFEN   3/4""",97
Almacen - P,0313,"MOFFEN   1""",127
Almacen - P,0314,"MOFFEN 1,5""",21
Almacen - P,0315,MOFFEN 2'',18
Almacen - P,0484,TOP T DOOS DUBB. R. 4210-D,27
Almacen - P,0485,TOP T DOOS DUBB. L.  4211-D,3
Almacen - P,0490,TREKDOOS                4202-D,53
Almacen - P,0491,KABELDOOS 225A,0
Almacen - P,0493,KABELDOOS EP088 (18100),22
Almacen - P,0494,KABELDOOS EV111(18300),9
Almacen - P,0495,EINDDOOS                4201-D,10
Almacen - P,0501,LASDOOS TOP T DOOS L DUBB3211,170
Almacen - P,0502,LASDOOS TOP T  R DUBB 3210,169
Almacen - P,1303,BADKAMER RAIL 5x6+1x25 mm,98
Almacen - P,1304,AARDRAIL VERN 12 X 3 MM,18
Almacen - P,16510,RAIL COPPER 20X5X1000 48794,1
Almacen - P,1885,HH 1042705 C-PROFIEL,12
Almacen - P,1997,HOOFDSCHAKELAAR 1250A 3P+N,1
Almacen - P,3001,STEENBOOR 5 mm,28
Almacen - P,3001,STEENBOOR 5 mm,7
Almacen - P,3246,PICKENS VPR 2211,0
Almacen - P,3248,PICKENS VPR  2241,0
Almacen - P,7189,KABEL DOOS 665 ROND  70 X 35,1
Almacen - P,7190,KABEL DOOS 604 80 X 80 X 35,6
Almacen - Q,0480,T-DOOS              4206-D,46
Almacen - Q,0481,MIDDENDOOS DUBBEL 4207-D,40
Almacen - Q,0482,TOPDOOS DUBB RECHT 4208-D,15
Almacen - Q,0483,TOPDOOS DUBB LINKS   4209-D,65
Almacen - Q,0486,KABELDOOS 220A,4
Almacen - Q,0488,KABELDOOS 221A,1
Almacen - Q,04946,KABEL DOOS GSLT322 (19965),1
Almacen - Q,0505,CD/RV RONDE DEKSEL CENTRAL,85
Almacen - Q,0515,DEKSEL VOOR LASDOOS  3504,574
Almacen - Q,0525,CENTRAALDOOS DEKSEL 3506,252
Almacen - Q,0533,MONTAGEDKSL (uni lasdoos) 3543,9
Almacen - Q,1302,BADKAMER RAIL 6x6+1x25 mm,25
Almacen - Q,1315,VERBINDING RAIL 1x6+1x25 mm,16
Almacen - Q,1316,VERBINDING RAIL 2x6+1x25 mm,24
Almacen - Q,3106,FOCO LED T140 BASE E27 50W 65K,1
Almacen - Q,3112,RECESADO REDONDO 12W 720LM 6K,1
Almacen - Q,3121,RECESADO REDONDO 3W  6000K,1
Almacen - Q,3222,TL INBOUWBAK 2X4 PARABOL 32W,25
Almacen - Q,3332,PICKENS 18 WATT 6500K LED SPOT,1
Almacen - Q,3335,PICKENS LED OPB ROND 18W 6500K,5
Almacen - Q,7153,OPB.KAST 56MD 5271R1,1
Almacen - R,0340,"ZADELS 5/8"" - 15-16mm gemenied",525
Almacen - R,0341,"ZADELS 3/4"" 19-20mm roodgemeni",511
Almacen - R,0342,"ZADELS 2x5/8""",178
Almacen - R,0343,"ZADELS 3x5/8""",127
Almacen - R,0344,"ZADELS 4x5/8""",171
Almacen - R,0345,ZADELS 9-10 mm VERT,492
Almacen - R,0346,ZADELS 11- 12 mm VERT,172
Almacen - R,0347,ZADELS 12 mm VERT,64
Almacen - R,0349,ZADELS 14 mm VERT,12
Almacen - R,0352,BC  ZADEL  2.5mm ZINC,1036
Almacen - R,0353,ZADELS ROOD 25mm (1duim),122
Almacen - R,0354,ZADELS ROOD 38mm (1½duim),50
Almacen - R,0355,ZADELS ROOD 50mm (2 duim),104
Almacen - R,0511,PLAFONDDOOS 97371201 GRO-2 120,4
Almacen - R,1298,UNIMAX KLEM 16/4-16 mm,79
Almacen - R,1299,UNIMAX KLEM 35/4-35 mm,4
Almacen - R,1300,UNIMAX KLEM 25/4-25 mm,42
Almacen - R,1301,UNIMAX KLEM 50/10-50 mm,3
Almacen - R,1309,"AARDKLEM 1/8""",11
Almacen - R,1310,"AARDKLEM 1/4""",39
Almacen - R,1311,"AARDKLEM 3/8""",19
Almacen - R,1312,"AARDKLEM 1/2""",41
Almacen - R,1313,"AARDKLEM 3/4""",26
Almacen - R,1317,MUURBLOK 50 MM2,89
Almacen - S,0300,PVC-LIJM 250 ml,11
Almacen - S,0331,CADDY KAB-CLIPS 2 -4mm 15-18,45
Almacen - S,0332,CADDY KAB-CLIPS 2- 4mm 19-24,233
Almacen - S,0333,CADDY KAB-CLIPS 4 -7mm 15-18,112
Almacen - S,0334,CADDY KAB-CLIPS 4 -7mm 19-24,299
Almacen - S,0335,CADDY KAB-CLIPS 8-12mm 15-18,6
Almacen - S,0336,CADDY KAB-CLIPS 8-12mm 19-24,232
Almacen - S,0511,PLAFONDDOOS 97371201 GRO-2 120,31
Almacen - S,0545,SPARINGSKEGEL 3550 16MM,40
Almacen - S,11480,"INB.DOOS PLASTIC 2x4"" WIT",100
Almacen - S,11481,INB.DOOS PLASTIC 4x4 WIT,0
Almacen - S,1335,KOPPELING LEH-34,10
Almacen - S,1336,AARDKLEM 3/4 Brass,129
Almacen - S,15142,OPBOUW KAST WD CSG13PT/RR,1
Almacen - S,1942,DIRECT HANDEL 40A T/M 250A-CD,3
Almacen - S,1976,PANEL HANDEL 250A-400A-M21,2
Almacen - S,3030,TAPE 10 mtr BRUIN,77
Almacen - S,3031,TAPE 10 mtr ZWART,8
Almacen - S,3032,TAPE 10 mtr BLAUW,107
Almacen - S,3033,TAPE 10 mtr GR/GL,80
Almacen - S,3034,TAPE 20 mtr BRUIN,92
Almacen - S,3035,TAPE 20 mtr ZWART,3
Almacen - S,3036,TAPE 25 mtr BLAUW,63
Almacen - S,3037,TAPE 25 mtr GR/GL,24
Almacen - S,3530,New3584500RJ45 8wireCat5e-6PL,52
Almacen - S,7159,INB.STOPCONTACT WD IP67 931431,5
Almacen - T,11480,"INB.DOOS PLASTIC 2x4"" WIT",72
Almacen - T,11481,INB.DOOS PLASTIC 4x4 WIT,29
Almacen - T,11482,DEKSEL DOOS PLASTIC 4x4 WIT,86
Almacen - T,1149,"INB.DOOS PLASTIC 4x4""-CARLON",46
Almacen - T,11491,Cover INB.D PLAST 4X4  1G A410,5
Almacen - T,11492,"DEKSEL INB.D PLASTIC 4X4"" DUB",50
Almacen - T,1150,"INB DOOS AM 2x4""",39
Almacen - T,1151,"INB DOOS AM 4x4""",11
Almacen - T,1152,"DEKSEL INB DOOS AM 4x4"" 4150",41
Almacen - T,1153,"DEKSEL INB DOOS AM 4x4"" 2-VOUD",35
Almacen - T,1154,INB D CARLON 2X4 PLASTIC,22
Almacen - T,11541,INB D CARLON GIPS 2X4 PLASTIC,24
Almacen - T,1198,SCHAK EUR ENK OPB KOPP,53
Almacen - T,7143,OPB.KAST WD 4MD 1304R1,28
Almacen - T,7144,OPB.KAST WD 6MD R1306BR1,7
Almacen - T,7148,OPB.KAST WD 8MD 1308BR1,11
Almacen - U,0995,F-CONNECTOR 2078-T6,51
Almacen - U,1016,SCHAK AM WIS DECO        6303V,3
Almacen - U,1021,WCD AM INB D R/A DEC  1107W,207
Almacen - U,1023,WCD AM INB D 220V DEC 6662W,1
Almacen - U,1024,WCD AM INB DUB  R/A       270W,33
Almacen - U,1025,WCD AM INB EN 220V R/A 1876W,56
Almacen - U,1027,WCD AM INB AARDL BEVXGF15,5
Almacen - U,1028,WCD AM INB 127 ENK DEC TR6250W,18
Almacen - U,1030,WCD AM OPB DUB R/A         78W,407
Almacen - U,1036,WCD AM INB 220V R/A     1876V,36
Almacen - U,1038,WCD AM OPB DUB R/A         78V,45
Almacen - U,1039,WCD AM OPB DUB 220V R/A  74V,5
Almacen - U,1039,WCD AM OPB DUB 220V R/A  74V,59
Almacen - U,1121,WALLPLATE AM DUB RP 2132V,6
Almacen - U,7151,OPB.KAST 28MD 5281R1,1
Almacen - V,1000,SCHAK AM WIS  DUB 276W,43
Almacen - V,1002,SCHAK AM ENK POL 271W,33
Almacen - V,1005,SCHAK AM WIS INB         1303W,98
Almacen - V,10092,SCHAK AM KRS DECO        7504W,41
Almacen - V,10101,DIMMER  WISS SI06P-W /SUL06P-W,22
Almacen - V,1012,SCHAK AM WIS            923V,12
Almacen - V,1015,SCHAK DECO COMB &WCD 7730W,20
Almacen - V,1020,COM SCHAK & WCD 127v -TR274W,4
Almacen - V,1103,WALLPLATE AM TRI SW   2953W,215
Almacen - V,1117,WALLPLATE AM TRI SW       953V,82
Almacen - V,7185,INB.KAST MP28 METALBOX,84
Almacen - W,1008,SCHAK AM DUB DECO       7728W,8
Almacen - W,1009,SCHAK AM TRI DECO        7729W,68
Almacen - W,10090,SCHAK DUB  WISSEL DECO 7731W,48
Almacen - W,10093,SCHAK AM ENK-WIS 7732W,34
Almacen - W,1010,DIMMER SCHUIF  SI061W / 6422,71
Almacen - W,10100,UNIV DEC DIMMER LED DUL 06,5
Almacen - W,1014,SCHAK  2P 30A      3032 FW,24
Almacen - W,1018,DIMMER 1000W             1000,1
Almacen - W,1019,DIMMER SCHUIF DUB LEV6628W,9
Almacen - W,1032,FAN/DIM COMB SDC15-W,14
Almacen - W,1033,FAN CNTL SLD 3-WAY SFS15P-W,19
Almacen - W,1115,WALLPLATE AM ENK SW  951V,105
Almacen - W,1116,WALLPLATE AM DUB SW   952V,71
Almacen - W,1120,WALLPLATE AM ENK RP 2131V,169
Almacen - W,1122,WALLPLATE AM D RP 2-V  2150V,27
Almacen - W,1135,WALLPLATE OPEN 5/8,6
Almacen - W,1138,STEKKER 20A 125/250V 2465,10
Almacen - W,1139,CONT STEKKER 20A 125/250V 2455,11
Almacen - W,7187,INB.KAST MP56 METALBOX,5
Almacen - X,0996,CUBE TAP 3 OUTLET 1482W,19
Almacen - X,111010,WALLPL AM ASPIRE 2-V 9522WS,4
Almacen - X,111011,WALLPL AM ASPIRE 3-V 9523WS,5
Almacen - X,111012,WALLPL AM ASPIRE 4-V 9524WS,3
Almacen - X,111013,WALLPL AM ASPIRE 5-V 9525WS,2
Almacen - X,1114,WALLPLATE AM SW (INB)    2134V,125
Almacen - X,1118,WALLPLATE AM BLD        2129V,3
Almacen - X,1119,WALLPLATE AM BLD 2G     2037V,150
Almacen - X,1131,WALLPLATE AM DUB WD  S1962,12
Almacen - X,1136,STEKKER 20A 125V  2363,19
Almacen - X,1137,CONTRA STEKKER 2353,22
Almacen - X,1141,STEKKER AM                183W,108
Almacen - X,1142,STEK RUB P/A 127V         1709,69
Almacen - X,1143,STEK RUB P/A  15A 220V  4866,21
Almacen - X,1144,STEKKER 1723,63
Almacen - X,1145,CONTRA STEKKER AM     86W,54
Almacen - X,1146,CONT STEKKER RUB P/A 127V  222,66
Almacen - X,1147,CONT STEKKER RUB P/A 220V 4227,9
Almacen - X,7150,OPB.KAST 14MD 5021R1,3
Almacen - X,7154,INB.KAST 12/14MD 5012R1,5
Almacen - X,7155,INB.KAST 24/28MD 5250R1,2
Almacen - X,7192,ARMARIO ABS 200X300X130+PLAC,2
Almacen - Y,0993,ADAPTOR F SERIE COAX 5552-5EW,36
Almacen - Y,1100,WALLPLATE AM SW (INB) 2134W,173
Almacen - Y,1104,WALLPLATE AM BLD         2129W,50
Almacen - Y,1106,WALLPLATE AM ENK RP  2131W,42
Almacen - Y,1107,WALLPLATE AM DUB RP 2132W,150
Almacen - Y,1108,WALLPLATE AM D RP 2-V  2150W,4
Almacen - Y,1109,WALLPLATE AM DECO 2151W,130
Almacen - Y,1110,WALLPLATE AM DECO 2-V 2152W,43
Almacen - Y,1112,WALLPLATE AM COAX C 1172W,4
Almacen - Y,1126,WALLPLATE AM DUB WD S1962 W-SP,9
Almacen - Y,1132,WALLPLATE AM DUB WD S2962 GRAY,41
Almacen - Y,1133,WALLPLATE AM DEC WD S2966 GRAY,38
Almacen - Y,1140,STEKKER AM             1912W,3
Almacen - Z,0101,VD DRAAD 1.5 mm  ZWART,22
Almacen - Z,0102,VD DRAAD 2.5 mm  BRUIN,20
Almacen - Z,0103,VD DRAAD 2.5 mm  BLAUW,18
Almacen - Z,0104,VD DRAAD 2.5 mm  GR/GL,20
Almacen - Z,0453,PERSKABELSCHOEN  70  mm  M14,4
Almacen - Z,0455,RAYTECH GIETMOF 95MM(A310),1
Almacen - Z,0456,A310 BARNICOL GIETMOF CPL,5
Almacen - Z,0457,A150 BARNICOL GIETMOF CPL,12
Almacen - Z,0460,A370 BARNICOL GIETMOF CPL,8
Almacen - Z,0461,A470 BARNICOL GIETMOF CPL,2
Almacen - Z,0462,BARNICOL GIETHARS A,6
Almacen - Z,0463,BARNICOL GIETHARS B,6
Almacen - Z,0464,BARNICOL GIETHARS C,5
Almacen - Z,0467,ATTEMA  GIETMOF PAKKET 2511,12
Almacen - Z,0600,PASMOER 16A,85
Almacen - Z,0601,PASMOER 20A,31
Almacen - Z,0602,PASMOER 25A,22
Almacen - Z,0603,PASMOER 35A,15
Almacen - Z,0604,PASMOER 50A,26
Almacen - Z,0605,PASMOER 63A,1
Almacen - Z,0610,ZEKERING 16A,45
Almacen - Z,0611,ZEKERING 20A,11
Almacen - Z,0612,ZEKERING 25A,52
Almacen - Z,0613,ZEKERING 35A,24
Almacen - Z,0614,ZEKERING 50A,47
Almacen - Z,0615,ZEKERING 63A,23
Almacen - Z,0620,KOP K2,53
Almacen - Z,0621,KOP K3,16
Almacen - Z,0624,KSV PATRONEN   25A NH 00,17
Almacen - Z,0625,KSV PATRONEN   35A NH 00,22
Almacen - Z,0626,KSV PATRONEN   50A NH 00,1
Almacen - Z,0628,KSV PATRONEN   80A NH 00,3
Almacen - Z,0630,KSV PATRONEN 125A NH 00,3
Almacen - Z,0631,KSV PATRONEN 160A NH 00,2
Almacen - Z,0635,KSV PATRONEN  63A NH 1,32
Almacen - Z,0636,KSV PATRONEN  80A NH 1,1
Almacen - Z,0637,KSV PATRONEN 100A NH 1,8
Almacen - Z,0638,KSV PATRONEN 125A NH 1,1
Almacen - Z,0640,KSV PATRONEN 200A NH 1,7
Almacen - Z,0641,KSV PATRONEN 224A NH 1,20
Almacen - Z,0643,KSV PATRONEN 315A NH 1,2
Almacen - Z,0644,KSV PATRONEN 355A NH 1,5
Almacen - Z,0645,KSV PATRONEN 400A NH 2,7
Almacen - Z,0646,KSV PATRONEN 630A NH 3,1
Almacen - Z,0715,ATT KABELDOOS IP65M20/M25 2501,1
Almacen - Z,0992,STRAP 2 PORTMOD-5522-5EW DECOR,35
Almacen - Z,0997,6 OUTLET 1146W-SP,9
Almacen - Z,0998,3 OUTLET 1192W-SP,46
Almacen - Z,1026,USB Charging station 7750W,6
Almacen - Z,1029,WCD AM INB 127 ENK LED TR7735W,5
Almacen - Z,1031,WCD AM INB ENK USB PORT TR7740,41
Almacen - Z,1101,WALLPLATE AM ENK SW  2951WDISC,39
Almacen - Z,1102,WALLPLATE AM DUB SW 2952W DISC,36
Almacen - Z,1105,WALLPLATE AM BLD 2G  2037W,50
Almacen - Z,1111,WALLPLATE AM TELPH. C 3532-4W,30
Almacen - Z,1113,DECO AM PHON/ANTENE 3562W,55
Almacen - Z,1127,WALLPLATE AM DUB WD S2966 W-SP,19
Almacen - Z,1128,WALLPLATE AM DUB WD S2962 W-SP,55
Almacen - Z,1134,WALLPLATE AM BLD WD       1987,14
Almacen - Z,1160,PHOTOCEL 127 VOLT A-105W,64
Almacen - Z,1161,PHOTOCEL 220 VOLT A-1068W,5
Almacen - Z,15144,OPB.KAST WD 36MD CDN36PT/RR,1
Almacen - Z,1594,JSL VERDEELBLOK 160 A 160134BD,1
Almacen - Z,3108,"TUBO LED T8, 9W 800LM 6500K",14
Almacen - Z,3109,TUBO LED T8 18W1600LM 6500K,18
Almacen - Z,3208,HALOGEEN SCHIJNWERPER 1000W,2
Almacen - Z,3210,TL-ORNEMENT 1x20W 127/220V,1
Almacen - Z,3223,TL ORNEMENT LED 1X9W LEEG,7
Almacen - Z,3226,TL-ORNEMENT 1x40W WD 127/220V,2
Almacen - Z,3228,TL-ORNEMENT LED 1x9W WD LEEG,1
Almacen - Z,3253,TL- BUIS  32W DL T8,37
Almacen - Z,3256,TL-BUIS LED 10W 6500K,8
Almacen - Z,3257,TL BUIS LED  20W 6500K,2
Almacen - Z,3271,PICKENS T8 0.6 CM LED9W 6500K,66
Almacen - Z,3272,PICKENS T8 1.20M LED 22W 6500K,18
Almacen - Z,3275,LED TUBE T8 10W/865 1050l 6500,16
Almacen - Z,3282,BALLAST 1x20W STARTER 220V,18
Almacen - Z,3283,BALLAST 1x40W STARTER,11
Almacen - Z,3284,BALLAST 1x40W STARTER 220V,5
Almacen - Z,3327,PICKENS LED ORNEMENT WD 2X9W,1
Almacen - Z,3431,WALLPLATE 2 SCHAK 2137,8
Almacen - Z,7130,HPS ARMATUUR 70W FML005,1
Almacen - Z,7153,OPB.KAST 56MD 5271R1,1
Almacen - Z,7157,INB.KAST 48/56MD 5270R1,1
Deposit N1 - A1,0201,KABEL YMvK 3G2.5mm rol/100mtr,0
Deposit N1 - A1,3229,TL-ORNEMENT LED 1x18W WD LEEG,81
Deposit N1 - A1,3319,PICKENS RFTL 100W 6500K UFO,19
Deposit N1 - A2,0103,VD DRAAD 2.5 mm  BLAUW,489
Deposit N1 - A3,0101,VD DRAAD 1.5 mm  ZWART,291
Deposit N1 - A3,3230,TL ORNEMENT LED 2X9W WD LEEG,21
Deposit N1 - A4,3231,TL ORNEMENT LED2X18W WD LEEG,59
Deposit N1 - A5,3225,TL-ORNEMENT 1x20W WD 127/220V,2
Deposit N1 - A5,3231,TL ORNEMENT LED2X18W WD LEEG,43
Deposit N1 - A5,3256,TL-BUIS LED 10W 6500K,1
Deposit N1 - A5,3258,LED TUBE 10W 4000K 60cm,17
Deposit N1 - A5,3275,LED TUBE T8 10W/865 1050l 6500,2
Deposit N1 - A5,3350,LEDPANEL 40W 2x2 CCT 120-277V,15
Deposit N1 - A6,0104,VD DRAAD 2.5 mm  GR/GL,280
Deposit N1 - B1,3210,TL-ORNEMENT 1x20W 127/220V,6
Deposit N1 - B1,3223,TL ORNEMENT LED 1X9W LEEG,12
Deposit N1 - B1,3229,TL-ORNEMENT LED 1x18W WD LEEG,20
Deposit N1 - B1,3253,TL- BUIS  32W DL T8,11
Deposit N1 - B2,3210,TL-ORNEMENT 1x20W 127/220V,63
Deposit N1 - B2,3224,TL ORNEMENT LED 1X18W LEEG,15
Deposit N1 - B2,3230,TL ORNEMENT LED 2X9W WD LEEG,90
Deposit N1 - B3,0102,VD DRAAD 2.5 mm  BRUIN,426
Deposit N1 - B3,1920,RAILKOPER VERN 15X8MM,29
Deposit N1 - B3,19201,RAILKOPER VERN 20X5MM,0
Deposit N1 - B3,3212,TL-ORNEMENT 2x40W 127V 50Hz,71
Deposit N1 - B3,4106,COVER PLATE - TELEPHONE 90712,0
Deposit N1 - B3,4117,COVER RING WITH DOUBLE 90442,0
Deposit N1 - B3,4140,ROCKER FOR SWITCHES 90601 TPM,131
Deposit N1 - B3,4141,DOUBLE ROCKERS 90611 TPM,45
Deposit N1 - B3,4142,TRIPLE ROCKERS 90661 TPM,38
Deposit N1 - B3,4143,COVER PLATE FOR DIMMER90721TPM,45
Deposit N1 - B3,4144,COV PLATE SINGLE RJ45 90751TPM,34
Deposit N1 - B3,4145,COV PLATE  TELEPHONE 90712 TPM,25
Deposit N1 - B3,4150,SINGLE FRAME 90910 TPM,64
Deposit N1 - B3,4151,2 X HORIZONTAL FRAME 90920 TPM,2
Deposit N1 - B3,4154,5 X HORIZONT FRAME 90950 TPM,86
Deposit N1 - B3,4155,COV RING WITH DOUBLE 90442 SPM,36
Deposit N1 - B3,4156,COV PLATE FOR USB 90673 TPM,25
Deposit N1 - B4,4024,COV PL SCHUK SOCKET IP44 70634,240
Deposit N1 - B4,4035,WATERPROOF FRAME IP 44  70961,40
Deposit N1 - B4,4040,SINGLE POLE SWITCH 37011 OPB,201
Deposit N1 - B4,4041,TWO CIRCUITS SWITCH 37061 OPB,310
Deposit N1 - B4,4042,TWO-WAY SWITCH 37071 OPB,240
Deposit N1 - B4,4043,DOUBLE 2-WAY SWITCH  37101 OPB,150
Deposit N1 - B4,4046,SINGLE POLE SWITCH 48011 OP WD,110
Deposit N1 - B4,4047,TWO POLE SWITCH 48021 WD OPB,70
Deposit N1 - B4,4048,2 CIRCUITS SWITCH 48061 OPB WD,90
Deposit N1 - B4,4049,TWO WAY SWITCH 48071 OPB WD,70
Deposit N1 - B4,4050,EARTH SOCKET  48131 OPB  WD,30
Deposit N1 - B5,3998,ELECTRONIC DIMMER 150W 21215-1,5
Deposit N1 - B5,4000,SINGEL POLE SWITCH 21011,180
Deposit N1 - B5,4001,TWO POLE SWITCH 21021,320
Deposit N1 - B5,4002,TWO CIRCUITS SWITCH 21061,170
Deposit N1 - B5,4003,THREE CIRCUITS SWITCH 21088,5
Deposit N1 - B5,4005,DOUBLE TWO WAY SWITCH 21101,11
Deposit N1 - B5,4013,RJ 45 CAT6 UTP CONNECTOR 21978,3
Deposit N1 - B5,4017,ROCKER FOR SWITCHES 70601,800
Deposit N1 - B5,4018,DOUBLE ROCKERS 70611,200
Deposit N1 - B5,4019,TRIPLE ROCKERS 70661,16
Deposit N1 - B5,4030,SURFACE MOUNTING BOX 10975,8
Deposit N1 - B5,4037,COVER PLATE MOTION  70401 TBR,22
Deposit N1 - B5,4058,COVER PLATE DBL USB CHAR 70673,20
Deposit N1 - B5,4250,VLAKHOEK 180X50MM  10293  RBR,8
Deposit N1 - B6,3031,TAPE 10 mtr ZWART,6
Deposit N1 - B6,3032,TAPE 10 mtr BLAUW,1
Deposit N1 - B6,3033,TAPE 10 mtr GR/GL,1
Deposit N1 - B6,3035,TAPE 20 mtr ZWART,9
Deposit N1 - B6,3036,TAPE 25 mtr BLAUW,11
Deposit N1 - B6,3228,TL-ORNEMENT LED 1x9W WD LEEG,136
Deposit N1 - B6,3230,TL ORNEMENT LED 2X9W WD LEEG,21
Deposit N1 - B6,4144,COV PLATE SINGLE RJ45 90751TPM,10
Deposit N1 - B6,4146,COV PLATE EARTH SOCKET90631TPM,144
Deposit N1 - B6,4146,COV PLATE EARTH SOCKET90631TPM,360
Deposit N1 - B6,4147,COVERPLATE EARTH 90843 USATPM,140
Deposit N1 - B6,4148,COV PLATE SOCKET IP44 90634TPM,72
Deposit N1 - B6,4149,BLIND COVER PLATE 90677 TPM,156
Deposit N1 - B6,4153,4 X  HORIZONT FRAME 90940 TPM,40
Deposit N1 - B6,4157,COVER PLATE MOTION  90401 TPM,14
Deposit N1 - B6,4216,T STUK 32X12.5MM  10401 ABR,59
Deposit N1 - B6,4218,T STUK 40X12.5MM  10051 ABR,40
Deposit N1 - B6,4221,T STUK 60X16MM     10071 ABR,30
Deposit N1 - B6,4224,T STUK 110X50MM   10091 RBR,25
Deposit N1 - B6,4225,T STUK 90X50MM     10181 RBR,2
Deposit N1 - B6,4230,BINNENHK 40X12.5MM 10052 ABR,40
Deposit N1 - B6,4231,BINNENHK 40X16MM 10062 ABR,27
Deposit N1 - B6,4234,BINNENHK 75X20MM  10142 ABR,24
Deposit N1 - B6,4239,VLAKHOEK 20X12.5MM  10033 ABR,6
Deposit N1 - B6,4240,VLAKHOEK 32X12.5MM  10403 ABR,53
Deposit N1 - B6,4241,VLAKHOEK 32X16MM  10043 ABR,48
Deposit N1 - B6,4243,VLAKHOEK 40X16MM  10063  ABR,19
Deposit N1 - B6,4247,VLAKHOEK 110X34MM  10083  RBR,27
Deposit N1 - B6,4248,VLAKHOEK 110X50MM  10093  RBR,2
Deposit N1 - B6,4250,VLAKHOEK 180X50MM  10293  RBR,15
Deposit N1 - B6,4252,VERLENG 32X12.5MM  10404 ABR,9
Deposit N1 - B6,4253,VERLENG 32X16MM  10044 ABR,55
Deposit N1 - B6,4254,VERLENG 40X12.5MM  10054  ABR,60
