code_item,description_item,total
1132,WALLPLATE AM DUB WD S2962 GRAY,241
1133,WALLPLATE AM DEC WD S2966 GRAY,88
1134,WALLPLATE AM BLD WD       1987,14
1135,WALLPLATE OPEN 5/8,86
1136,STEKKER 20A 125V  2363,19
1137,CONTRA STEKKER 2353,22
1138,STEKKER 20A 125/250V 2465,10
1139,CONT STEKKER 20A 125/250V 2455,11
1140,STEKKER AM             1912W,3
1141,STEKKER AM                183W,108
1142,STEK RUB P/A 127V         1709,669
1143,STEK RUB P/A  15A 220V  4866,121
1144,STEKKER 1723,63
1145,CONTRA STEKKER AM     86W,54
1146,CONT STEKKER RUB P/A 127V  222,66
1147,CONT STEKKER RUB P/A 220V 4227,59
1148,"INB.DOOS PLASTIC 2x4""GEEL",1200
11480,"INB.DOOS PLASTIC 2x4"" WIT",172
11481,INB.DOOS PLASTIC 4x4 WIT,325
11482,DEKSEL DOOS PLASTIC 4x4 WIT,1066
1149,"INB.DOOS PLASTIC 4x4""-CARLON",846
11491,Cover INB.D PLAST 4X4  1G A410,1805
11492,"DEKSEL INB.D PLASTIC 4X4"" DUB",50
1150,"INB DOOS AM 2x4""",2339
1151,"INB DOOS AM 4x4""",2461
1152,"DEKSEL INB DOOS AM 4x4"" 4150",3391
1153,"DEKSEL INB DOOS AM 4x4"" 2-VOUD",785
1154,INB D CARLON 2X4 PLASTIC,122
11541,INB D CARLON GIPS 2X4 PLASTIC,25
1157,3 GANG BOX METAAL MSB-3,8
1158,4 GANG BOX METAAL MSB-4,31
1159,5 GANG BOX METAAL MSB-5,42
1160,PHOTOCEL 127 VOLT A-105W,64
1161,PHOTOCEL 220 VOLT A-1068W,47
1196,WCD EUR ENK R/A OPB WD KOPP,11
1197,SCHAK EUR WIS OPB KOPP,11
1198,SCHAK EUR ENK OPB KOPP,53
119801,BERKER COMB SCH/SCHUKO 437605,10
1199,BERKER SERIE OPB 307805 IP44,20
1201,BERKER WIS OPB 67307905 IP44,5
1202,BERKER SERIE OPB 61300849,36
1211,SCHAK EUR DUB POL  OPB WD,35
1213,SCHAK EUR WIS TREK OPB WD,18
1216,"TREKKOORTJE  1,9 mtr",101
1218,TIMER 250V/50Hz WHITE,8
1221,WCD EUR DUB        OPB,7
1223,KOPP WCD EUR DUB R/AOPB 74108,218
1227,EUR CONVERTER PLUG  125V,41
1230,STEKKER WIT,155
1233,CONTRA STEKKER,54
1234,CONTRA STEKKER R/A,31
1236,CONTRA STEK R/A RUBBER HSKP16G,7
1237,VERLOOP STEKKER PEN PL 695,100
1238,STEKKER WIT vinckier,50
1239,TUSSEN SCHAKELAAR 939,23
1240,VERLOOP STEKKER PEN RO 104,14
1241,VERLOOP STEKKER PEN PL 103,1
1242,VERLOOP STEKKER PEN RO 686,525
1243,*******CEE-FORM STEKK 16A-3P+A,38
12431,CEE-FORM STEKKER 2P+E16A-02101,18
1244,******CEE-FORM STEKK 32A -3P+A,1
12441,CEE-FORM STEKKER 3P+E16A-03102,20
1245,******CEE-FORM STEKK 63A -3P+A,115
12451,CEE-FORM STEK 3P+N+E 16A-03103,32
1246,CEE-FORM STEK 2P+E 32A-02104,40
1247,CEE-FORM STEK 3P+E 32A-03105,13
1248,CEE-FORM STEK 3P+N+E 32A-03106,30
1249,CEE-FOR STEK 2P+E16A IP67-2601,40
1250,***CEE-FORM STEKK 16A - 3P+N+A,2
12501,CEE-FOR STEK3P+E 16A IP67 3602,33
12511,CEE-FORM STEK 3P+N+E 16A 03603,35
1252,*****CEE-FORM STEKK 63A-3P+N+A,11
12521,CEE-FORM STEK 2P+E 32A 02604,12
1253,CEE-FORM STEKK 125A - 3P+N+A,4
12531,CEE-FORM STEK 3P+E 32A 03605,45
12532,CEE-FORM STEK 3P+N+E 32A 3606,15
12533,CEE-FORM STEK 3P+E 63A  03652,23
12535,CEE-FORM STEK 3P+E 125A 03655,18
1254,*******CEE-FORM WCD 16A-3P+N+A,2
12541,CEE-FORM -WCD 2P+E 16A-02321,16
12551,CEE-FORM WCD 3P+E 16A-03322,27
1256,******CEE-FORM WCD 63A -3P+N+A,11
12561,CEE-FORM WCD 3P+N+E 16A-03323,24
1258,*******CEE-FORM WCD 16A - 3P+A,23
12581,CEE-FORM WCD 3P+E 32A-3325,25
1259,*******CEE-FORM WCD 32A - 3P+A,5
12591,CEE-FORM WCD 3P+N+T 32A-03326,40
1260,*******CEE-FORM WCD 63A - 3P+A,48
12601,CEE-FORM WCD 2P+E 16A -02821,23
126010,CEE-FORM WCD 3P+N+E 125A 03876,13
12602,CEE-FORM WCD 3P+E 16A -03822,9
12603,CEE-FORM WCD 3P+N+E 16A 03823,13
12604,CEE-FORM WCD 2P+E 32A 02824,1
12605,CEE-FORM WCD 3P+E 32A -03825,19
12606,CEE-FORM WCD 3P+N+E 32A 03826,7
12607,CEE-FORM WCD 3P+E 63A 03872,18
12608,CEE-FORM WCD 3P+N+E 63A 03873,1
12609,CEE-FORM WCD 3P+E 125A 03875,17
1261,CEE-FORM CONN 2P+E 16A-02201,33
1262,CEE-FORM CONN 3P+E 16A-03202,30
1263,CEE-FORM CONN 3P+N+E 16A-03203,13
1264,CEE-FORM CONN 2P+E 32A-02204,21
1265,******CEE-FORM CONN 32A -3P +A,34
1266,*****CEE-FORM CON 32A -3P+N+A,29
1267,*****CEE-FORM CONN 63A -3P + A,30
1269,CEE-FORM CONN 3P+E 32A-03205,28
1270,CEE-FORM CONN 3P+N+T 32A-03206,34
1271,CEE-FORM CONN 2P+E 16A 02701,28
1272,CEE-FORM CONN 3P+E 16A 03702,13
1273,CEE-FORM CONN 3P+N+E 16A 03703,19
1274,CEE-FORM CONN 2P+E 32A 02704,21
1275,CEE-FORM CONN 3P+E 32A 03705,14
1276,CEE-FORM CONN 3P+N+E 32A 03706,18
1277,CEE-FORM CONN 3P+E 63A 03752,19
1279,CEE-FORM CONN 3P+E 125A 03755,22
1280,CEE-FORM CONN 3P+N+E125A 03756,10
1281,CEE-FORM SCH-WCD 2P+E 16A-0236,22
1282,CEE-FORM SCH-WCD2P+E 16A 02831,12
1283,CEE-FORM SCH-WCD3P+E 16A-03362,16
1284,CEE-FORM SCH-WCD 3P+E16A 03832,9
1285,CEE-FORM WCD 3P+N+E 16A-03363,22
1286,CEE-FORM WCD 3P+N+E 16A 03833,17
1287,CEE-FORM WCD 2P+E 32A -02364,21
1288,CEE-FORM WCD 2P+E 32A 02834,21
1289,CEE-FORM WCD 3P+E 32A 03365,21
1290,CEE-FORM WCD 3P+E 32A 03835,12
1291,CEE-FORM WCD 3P+N+E 32A-03366,17
1292,CEE-FORM WCD 3P+N+E 32A-03836,7
1293,CEE-FORM WCD 3P+E 63A-03882,9
1294,CEE-FORM WCD 3P+N+E 63A 03883,1
1298,UNIMAX KLEM 16/4-16 mm,79
1299,UNIMAX KLEM 35/4-35 mm,54
1300,UNIMAX KLEM 25/4-25 mm,42
1301,UNIMAX KLEM 50/10-50 mm,153
1302,BADKAMER RAIL 6x6+1x25 mm,175
1303,BADKAMER RAIL 5x6+1x25 mm,106
1304,AARDRAIL VERN 12 X 3 MM,18
1305,AARDRAIL VERN 15 X 4 MM,6
1306,AARDRAIL VERN 20 X 5 MM,20
1307,AARDRAIL 63AMP BLANK KOPER,4
1309,"AARDKLEM 1/8""",135
1310,"AARDKLEM 1/4""",334
1311,"AARDKLEM 3/8""",169
1312,"AARDKLEM 1/2""",591
1313,"AARDKLEM 3/4""",42
1314,"AARDKLEM  1 """,202
1315,VERBINDING RAIL 1x6+1x25 mm,20
1316,VERBINDING RAIL 2x6+1x25 mm,524
1317,MUURBLOK 50 MM2,89
1320,AARDDRAAD BC  6 mm2,300
1321,AARDDRAAD BC 10 mm2,100
1322,AARDDRAAD BC 16 mm2,100
1323,AARDDRAAD BC 25 mm2,100
1324,,2
1327,MOERKLEM APC 10/6,140
1328,MOERKLEM APC 16/16,179
1329,MOERKLEM APC 25/25,191
1330,MOERKLEM APC 35/35,161
1331,MOERKLEM APC 50/50,193
1333,MOERKLEM APC 50/70,1500
1334,,218
1335,KOPPELING LEH-34,307
1336,AARDKLEM 3/4 Brass,129
1351,HOUTSCHR IJZ 3.5x25 (1x6),102
1353,HOUTSCHR IJZ 4.0x25 (1x8),222
1354,HOUTSCHR IJZ 4.0x40 (1 1/2x8),5000
1360,SPAANPLAAT SCHR.3.5x25 (1x6),330
1361,SPAANPLAAT SCHR.4.0x20 (3/4x8),360
1362,SPAANPLAAT SCHR.3.9x25 (1x8),8240
1363,SPAANPLAAT SCHR.4.0x35(11/4x8),4160
1365,SPAANPLAAT SCHR.3.5x45,120
1370,RAWPLUGS S5,1200
1372,RAWPLUGS S8,4100
1375,"RAWPLUGS  WIT   (5x25mm-1"")",2560
1376,"RAWPLUGS ROOD (6X25mm-1"")",2734
1377,RAW PLUGS GROEN (7x35mm-1.1/2),1622
1378,RAWPLUGS  BLAUW (8x35mm-1.1/2),1200
1399,BERKER WIPSCHA 2X/WIS 61303808,81
1402,BERKER WCD  220V INB WD 471509,9
1403,BERKER WCD 127V  INB  WD 4202,31
1404,BERKER WIPPENSCHAK 3x1P 633023,130
1405,BERKER WIPSCHA UIT/WISS 613036,104
1406,BERKER WIPSCHAK SERIE 613035,162
1407,BERKER WIPSCHAK  2P 613032,262
1408,BERKER WIPSCHAK  KRUIS 613037,116
1409,BERKER UNIV DRAAI DIMM  286110,3
1410,DRAAI DIMM DRUK/UIT 283010,55
1411,BERKER AFDEKRAAM 1V  10118989,6
1412,BERKER AFDEKRAAM  2V  10128989,16
