id,code_item,description_item,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,current_inventory,difference,updated_date,sales_qty,purchasing_qty
2939,0299,WIJMAPLAST 100 gram,0,0,0,15,0,15,15,0,2026-02-17T18:02:59.718311,,
2940,0300,PVC-LIJM 250 ml,0,0,0,29,0,29,10,-19,2026-02-17T18:02:59.718311,,
2941,0305,HOSTALIT MOF 5/8 Grijs,8,50,400,324,0,724,640,-84,2026-02-17T18:02:59.718311,,
2942,0306,FLEXIBELE BUIS 5/8,0,0,0,5,0,5,442,437,2026-02-17T18:02:59.718311,,
2943,0307,FLEXIBELE BUIS 3/4,0,0,0,10,0,10,999,989,2026-02-17T18:02:59.718311,,
2944,0310,FLEXIBELE BUIS 1DUIM,0,0,0,16,0,16,837,821,2026-02-17T18:02:59.718311,,
2945,0311,"MOFFEN   5/8""",32,2500,22800,95,0,22895,26003,3108,2026-02-17T18:02:59.718311,,
2946,0312,"MOFFEN   3/4""",9,100,450,47,0,497,1563,1066,2026-02-17T18:02:59.718311,,
2947,0313,"MOFFEN   1""",7,225,525,2,0,527,232,-295,2026-02-17T18:02:59.718311,,
2948,0314,"MOFFEN 1,5""",23,812,3314,3,0,3317,118,-3199,2026-02-17T18:02:59.718311,,
2949,0315,MOFFEN 2'',10,36,208,2,0,210,206,-4,2026-02-17T18:02:59.718311,,
2950,0316,"BOCHT 1""",3,100,300,55,0,355,117,-238,2026-02-17T18:02:59.718311,,
2951,0317,"BOCHT 1,5""",4,25,100,22,0,122,97,-25,2026-02-17T18:02:59.718311,,
2952,0318,"BOCHT 2""",19,20,190,12,0,202,203,1,2026-02-17T18:02:59.718311,,
2953,0319,"BUISBEVESTIGING 2"" POLFIX",28,25,700,4,0,704,641,-63,2026-02-17T18:02:59.718311,,
2954,0320,"BUISBEVESTIGING 5/8""POLFIX",48,150,7200,1058,0,8258,9703,1445,2026-02-17T18:02:59.718311,,
2955,0321,"BUISBEVESTIGING 3/4""POLFIX",16,100,1600,772,0,2372,3082,710,2026-02-17T18:02:59.718311,,
2956,0322,"BUISBEVESTIGING 1.5"" POLFIX",8,25,200,50,0,250,270,20,2026-02-17T18:02:59.718311,,
2957,0323,"BUISBEVESTIGING 1"" POLFIX",8,75,600,74,0,674,730,56,2026-02-17T18:02:59.718311,,
2958,0324,BOCHT PVC  5/8 CRÈME,9,50,225,0,0,225,234,9,2026-02-17T18:02:59.718311,,
2959,0325,BOCHT PVC  3/4 CRÈME,6,150,450,10,0,460,210,-250,2026-02-17T18:02:59.718311,,
2960,0326,"POLFIX 5/8"" SLAGVAST GRIJS",3,150,450,52,0,502,552,50,2026-02-17T18:02:59.718311,,
2961,0327,"POLFIX 3/4"" SLAGVAST GRIJS",0,0,0,447,0,447,191,-256,2026-02-17T18:02:59.718311,,
2962,0331,CADDY KAB-CLIPS 2 -4mm 15-18,5,100,500,45,0,545,553,8,2026-02-17T18:02:59.718311,,
2963,0332,CADDY KAB-CLIPS 2- 4mm 19-24,13,200,1300,33,0,1333,3433,2100,2026-02-17T18:02:59.718311,,
2964,0333,CADDY KAB-CLIPS 4 -7mm 15-18,21,200,2100,12,0,2112,2100,-12,2026-02-17T18:02:59.718311,,
2965,0334,CADDY KAB-CLIPS 4 -7mm 19-24,28,200,2800,99,0,2899,3095,196,2026-02-17T18:02:59.718311,,
2966,0335,CADDY KAB-CLIPS 8-12mm 15-18,51,200,5100,6,0,5106,3206,-1900,2026-02-17T18:02:59.718311,,
2967,0336,CADDY KAB-CLIPS 8-12mm 19-24,20,200,2000,32,0,2032,2531,499,2026-02-17T18:02:59.718311,,
2968,0340,"ZADELS 5/8"" - 15-16mm gemenied",47,525,23025,500,0,23525,25119,1594,2026-02-17T18:02:59.718311,,
2969,0341,"ZADELS 3/4"" 19-20mm roodgemeni",74,361,25561,500,0,26061,26162,101,2026-02-17T18:02:59.718311,,
2970,0342,"ZADELS 2x5/8""",6,250,1500,178,0,1678,1750,72,2026-02-17T18:02:59.718311,,
2971,0343,"ZADELS 3x5/8""",14,250,3500,127,0,3627,3602,-25,2026-02-17T18:02:59.718311,,
2972,0344,"ZADELS 4x5/8""",23,350,4250,171,0,4421,5764,1343,2026-02-17T18:02:59.718311,,
2973,0345,ZADELS 9-10 mm VERT,28,532,13532,460,0,13992,13631,-361,2026-02-17T18:02:59.718311,,
2974,0346,ZADELS 11- 12 mm VERT,27,500,13500,172,0,13672,13887,215,2026-02-17T18:02:59.718311,,
2975,0347,ZADELS 12 mm VERT,6,10,60,4,0,64,84,20,2026-02-17T18:02:59.718311,,
2976,0348,ZADELS 13 mm VERT,3,500,1500,0,0,1500,1501,1,2026-02-17T18:02:59.718311,,
2977,0349,ZADELS 14 mm VERT,24,1000,12000,12,0,12012,13579,1567,2026-02-17T18:02:59.718311,,
2978,0352,BC  ZADEL  2.5mm ZINC,0,0,0,1036,0,1036,1038,2,2026-02-17T18:02:59.718311,,
2979,0353,ZADELS ROOD 25mm (1duim),21,150,3150,122,0,3272,3283,11,2026-02-17T18:02:59.718311,,
2980,0354,ZADELS ROOD 38mm (1½duim),0,0,0,50,0,50,877,827,2026-02-17T18:02:59.718311,,
2981,0355,ZADELS ROOD 50mm (2 duim),13,84,634,70,0,704,704,0,2026-02-17T18:02:59.718311,,
2982,0360,CABLE CLIPS  5-7mm,0,0,0,200,0,200,300,100,2026-02-17T18:02:59.718311,,
2983,0361,CABLE CLIPS   4  mm,0,0,0,45222,0,45222,45089,-133,2026-02-17T18:02:59.718311,,
2984,0362,CABLE CLIPS   5  mm,0,0,0,29605,0,29605,29700,95,2026-02-17T18:02:59.718311,,
2985,0363,CABLE CLIPS   6  mm,0,0,0,40182,0,40182,73190,33008,2026-02-17T18:02:59.718311,,
2986,0364,CABLE CLIPS   7  mm,0,0,0,10100,0,10100,10349,249,2026-02-17T18:02:59.718311,,
2987,0365,CABLE CLIPS   8  mm,0,0,0,18000,0,18000,21402,3402,2026-02-17T18:02:59.718311,,
2988,0366,CABLE CLIPS   9  mm,0,0,0,18300,0,18300,18100,-200,2026-02-17T18:02:59.718311,,
2989,0367,CABLE CLIPS  10  mm,100,0,0,9750,0,9750,10050,300,2026-02-17T18:02:59.718311,,
2990,0368,CABLE CLIPS  11  mm,0,0,0,4546,0,4546,8740,4194,2026-02-17T18:02:59.718311,,
2991,0369,CABLE CLIPS  12  mm,37,100,3700,0,0,3700,0,-3700,2026-02-17T18:02:59.718311,,
2992,0370,CABLE CLIPS  16  mm,0,0,0,36,0,36,35,-1,2026-02-17T18:02:59.718311,,
2993,0372,CABLE CLIPS  20  mm,0,0,0,75,0,75,75,0,2026-02-17T18:02:59.718311,,
2994,0373,CABLE CLIPS   11 - 15  mm,50,0,0,2400,0,2400,2450,50,2026-02-17T18:02:59.718311,,
2995,0380,TYRAPS  95x2.5,66,100,6600,0,0,6600,0,-6600,2026-02-17T18:02:59.718311,,
2996,0382,TYRAPS BRN 200 X 2.5,8,100,800,0,0,800,900,100,2026-02-17T18:02:59.718311,,
2997,0383,TYRAPS  BRN 250 X 4.8,200,200,20000,0,0,20000,8800,-11200,2026-02-17T18:02:59.718311,,
2998,0385,TYRAPS  BRN 250 X 7.6,7,100,700,0,0,700,900,200,2026-02-17T18:02:59.718311,,
