code_item,description_item,current_inventory
02501               ,VMvL H05 V V-F 5G2.5   mm     ,0
02502               ,KABEL RWPK H07RN-F 2X2.5mm    ,0
0251                ,KABEL RWPK H07RN-F 3X2.5mm    ,0
0252                ,KABEL RWPK H07RN-F 4X4 mm     ,0
0253                ,KABEL RWPK H07RN-F 4X6 mm     ,0
0254                ,KABEL RWPK H07RN-F 4X10 mm    ,0
0255                ,KABEL RWPK H07RN-F 5X10 mm    ,0
0256                ,KABEL RWPK H07RN-F 3X1.5mm    ,0
0257                ,Newlink STP Cat 6 pair4 Gray  ,0
0258                ,UTP Cat 6 PVC  1000ft Blue    ,0
0259                ,FTP Cat 5e 4-pair PVC Gray    ,0
0260                ,UTP Cat 5e 4-pair PVC CMR GRAY,0
0261                ,UTP Cat 6 4- pair PVC CMR GRAY,0
0262                ,COAX RG6 60% 18AWG            ,0
0263                ,VG YMvKas 4x150 AL            ,0
0264                ,VMVL H05 V V-F 2X2.5MM2 ROL   ,0
0265                ,VMVL H05 V V-F 3G0.75MM2 ROL  ,0
0266                ,VMVL H05 V V-F 3G1.5MM2 ROL   ,0
0267                ,VMVL H05 V V-F 3G2.5MM2 ROL   ,0
0270                ,KABELBAAN 15X 50mm  L - 2 mtr ,0
0271                ,KABELBAAN 15x100mm  L- 2 mtr  ,0
0273                ,KABELBAAN 15x150mm  L- 2 mtr  ,0
0274                ,KABELBAAN 15x200mm  L- 2 mtr  ,0
0275                ,KABELBAAN 15x250mm  L- 2 mtr  ,0
0276                ,KABELBAAN 15x300mm  L- 2 mtr  ,0
0278                ,KABELGOOT 100x40 mm           ,0
0279                ,KABELGOOT 80x40 mm            ,0
0280                ,KABELGOOT 40x17 mm            ,0
0281                ,KABELGOOT 15x17 mm   1517B    ,0
0282                ,KABELGOOT 25x17 mm   2517B    ,0
0283                ,KABELGOOT 40x40 mm   4040B    ,0
0284                ,KABELGOOT 60x40 mm            ,0
0285                ,KABELGOOT 10x8 mm             ,0
0286                ,KABELGOOT 15x10 mm            ,0
0287                ,KABELGOOT 20x10 mm            ,0
0288                ,KABELGOOT 70x40 mm            ,0
0289                ,KABELGOOT 70x60 mm            ,0
0290                ,KABELGOOT 100x60 mm           ,0
0291                ,KABELGOOT  DEKSEL70x40 mm     ,0
0292                ,KABELGOOT DEKSEL 70x60 mm     ,0
0293                ,KABELGOOT DEKSEL 100x60 mm    ,0
0299                ,WIJMAPLAST 100 gram           ,0
0300                ,PVC-LIJM 250 ml               ,0
0301                ,"PVC-BUIS 5/8""                 ",0
0302                ,"PVC-BUIS 3/4""                 ",0
0303                ,"PVC-BUIS 1""                   ",0
0304                , HOSTALIT BUIS 5/8 Grijs      ,0
03041               ,HOSTALIT BUIS 3/4 Grijs       ,0
0305                ,HOSTALIT MOF 5/8 Grijs        ,0
03051               ,HOSTALIT MOF 3/4 Grijs        ,0
0306                ,FLEXIBELE BUIS 5/8            ,0
0307                ,FLEXIBELE BUIS 3/4            ,0
0308                ,"PVC-BUIS 1,5""                 ",0
0309                ,"PVC-BUIS 2""                   ",0
0310                ,FLEXIBELE BUIS 1DUIM          ,0
03101               ,FLEXIBELE BUIS 1 1/4DUIM      ,0
0311                ,"MOFFEN   5/8""                 ",0
0312                ,"MOFFEN   3/4""                 ",0
0313                ,"MOFFEN   1""                   ",0
0314                ,"MOFFEN 1,5""                   ",0
0315                ,MOFFEN 2''                    ,0
0316                ,"BOCHT 1""                      ",0
0317                ,"BOCHT 1,5""                    ",0
0318                ,"BOCHT 2""                      ",0
0319                ,"BUISBEVESTIGING 2"" POLFIX     ",0
0320                ,"BUISBEVESTIGING 5/8""POLFIX    ",0
0321                ,"BUISBEVESTIGING 3/4""POLFIX    ",0
0322                ,"BUISBEVESTIGING 1.5"" POLFIX   ",0
0323                ,"BUISBEVESTIGING 1"" POLFIX     ",0
0324                ,BOCHT PVC  5/8 CRÈME          ,0
0325                ,BOCHT PVC  3/4 CRÈME          ,0
0326                ,"POLFIX 5/8"" SLAGVAST GRIJS    ",0
0327                ,"POLFIX 3/4"" SLAGVAST GRIJS    ",0
0328                ,"PVC-BUIS 2"" GRIJS 5 MTR       ",0
0329                ,"PVC-BUIS 3"" GRIJS 5 MTR       ",0
0330                ,"PVC-BUIS 1 1/4"" GRIJS 5 MTR   ",0
0331                ,CADDY KAB-CLIPS 2 -4mm 15-18  ,0
0332                ,CADDY KAB-CLIPS 2- 4mm 19-24  ,0
0333                ,CADDY KAB-CLIPS 4 -7mm 15-18  ,0
0334                ,CADDY KAB-CLIPS 4 -7mm 19-24  ,0
0335                ,CADDY KAB-CLIPS 8-12mm 15-18  ,0
0336                ,CADDY KAB-CLIPS 8-12mm 19-24  ,0
0339                ,"ZADELS 5/8"" - 15-16mm Wit     ",0
0340                ,"ZADELS 5/8"" - 15-16mm gemenied",0
0341                ,"ZADELS 3/4"" 19-20mm roodgemeni",0
0342                ,"ZADELS 2x5/8""                 ",0
0343                ,"ZADELS 3x5/8""                 ",0
0344                ,"ZADELS 4x5/8""                 ",0
0345                ,ZADELS 9-10 mm VERT           ,0
0346                ,ZADELS 11- 12 mm VERT         ,0
0347                ,ZADELS 12 mm VERT             ,0
0348                ,ZADELS 13 mm VERT             ,0
